Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
Brenden Aaronson,us USA,MF,Union Berlin,23-089,2000,12,395,33,27.4,4.4,5,53,0,7,18,2,1.08,5,9,-4,-0.91,-0.05,3.4,8.0,-4.5,-1.03,-0.93
Paxten Aaronson,us USA,MF,Eint Frankfurt,20-146,2003,7,101,14,6.6,1.1,1,45,0,6,9,6,0.86,2,2,0,0.00,-0.44,1.1,2.6,-1.5,-1.30,-1.08
Junior Adamu,at AUT,"FW,MF",Freiburg,22-227,2001,12,95,8,6.2,1.1,0,,0,12,8,2,1.42,1,5,-4,-3.79,-3.73,0.9,3.4,-2.4,-2.30,-2.54
Sargis Adamyan,am ARM,"FW,MF",Köln,30-241,1993,5,142,28,9.3,1.6,0,,0,5,28,3,0.20,1,4,-3,-1.90,-0.93,2.1,2.1,0.0,0.00,+1.07
Karim Adeyemi,de GER,"FW,MF",Dortmund,22-001,2002,11,370,34,24.2,4.1,3,55,0,8,26,2,1.45,9,9,0,0.00,-0.62,8.4,9.5,-1.1,-0.27,-0.65
Amine Adli,ma MAR,"MF,DF",Leverkusen,23-254,2000,11,265,24,17.3,2.9,2,62,0,9,16,2,2.45,9,3,+6,+2.04,-0.03,7.0,4.6,+2.3,+0.80,-0.44
Felix Agu,de GER,"MF,DF",Werder Bremen,24-114,1999,7,275,39,18.0,3.1,3,77,0,4,11,5,1.29,1,4,-3,-0.98,-0.69,2.8,5.2,-2.5,-0.80,-0.46
Ludovic Ajorque,fr FRA,FW,Mainz 05,29-328,1994,13,878,68,57.4,9.8,10,83,8,3,16,3,0.62,7,17,-10,-1.03,-0.33,12.8,12.0,+0.8,+0.08,+0.48
Kevin Akpoguma,ng NGA,DF,Hoffenheim,28-275,1995,10,579,58,37.8,6.4,5,89,4,5,26,4,1.40,12,11,+1,+0.16,+0.34,9.9,11.6,-1.7,-0.26,-0.20
Faride Alidou,de GER,"FW,MF",Köln,22-185,2001,10,291,29,19.0,3.2,1,61,0,9,26,2,0.60,2,8,-6,-1.86,-0.98,4.3,7.3,-3.0,-0.93,+0.06
Nadiem Amiri,de GER,"MF,FW",Leverkusen,27-084,1996,7,19,3,1.2,0.2,0,,0,7,3,10,2.71,0,0,0,0.00,-2.08,0.5,0.4,+0.1,+0.37,-0.80
Kofi Amoako,de GER,MF,Wolfsburg,18-258,2005,1,1,1,0.1,0.0,0,,0,1,1,1,3.00,0,0,0,0.00,+0.41,0.0,0.0,0.0,0.00,+0.32
Robert Andrich,de GER,"MF,DF",Leverkusen,29-119,1994,11,426,39,27.8,4.7,4,79,3,7,16,6,2.82,13,1,+12,+2.54,+0.66,9.4,3.0,+6.4,+1.36,+0.27
Spyridon Angelidis,gr GRE,GK,Werder Bremen,18-356,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
Waldemar Anton,de GER,DF,Stuttgart,27-183,1996,17,"1,498",88,97.9,16.6,17,88,16,0,,0,2.00,38,21,+17,+1.02,+3.83,38.7,18.9,+19.9,+1.19,+1.51
Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29-346,1994,15,724,48,47.3,8.0,6,75,1,9,30,1,0.87,8,17,-9,-1.12,-0.45,11.5,17.6,-6.2,-0.77,-0.70
Maximilian Arnold,de GER,MF,Wolfsburg,29-237,1994,14,"1,067",76,69.7,11.9,11,90,11,3,26,0,1.00,13,22,-9,-0.76,-1.15,13.1,18.9,-5.8,-0.49,-0.54
Arthur,br BRA,DF,Leverkusen,20-308,2003,2,34,17,2.2,0.4,0,,0,2,17,1,3.00,0,0,0,0.00,-2.11,0.5,0.3,+0.2,+0.43,-0.75
Takuma Asano,jp JPN,"FW,MF",Bochum,29-070,1994,16,"1,178",74,77.0,13.1,16,74,2,0,,0,1.00,14,27,-13,-0.99,-0.48,16.7,23.4,-6.7,-0.51,-0.48
Noah Atubolu,de GER,GK,Freiburg,21-239,2002,17,"1,530",90,100.0,17.0,17,90,17,0,,0,1.47,21,26,-5,-0.29,,26.0,24.6,+1.4,+0.08,
Matthias Bader,de GER,"DF,MF",Darmstadt 98,26-216,1997,13,930,72,60.8,10.3,11,79,5,2,31,0,0.77,15,26,-11,-1.06,+0.89,10.4,20.5,-10.1,-0.98,+0.30
Ridle Baku,de GER,"DF,MF",Wolfsburg,25-286,1998,17,924,54,60.4,10.3,9,86,5,8,19,0,1.18,12,14,-2,-0.19,+0.55,13.1,16.2,-3.0,-0.30,+0.07
Samuel Bamba,de GER,FW,Dortmund,19-340,2004,2,47,24,3.1,0.5,0,,0,2,24,0,1.00,0,0,0,0.00,-0.49,1.6,0.8,+0.9,+1.66,+1.48
Aymen Barkok,ma MAR,"MF,FW",Mainz 05,25-243,1998,13,321,25,21.0,3.6,1,68,0,12,21,0,0.62,7,7,0,0.00,+1.12,5.7,6.2,-0.5,-0.15,-0.04
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,24-016,2000,15,"1,262",84,82.5,14.0,14,89,13,1,13,0,0.67,12,26,-14,-1.00,-0.66,15.2,18.2,-3.0,-0.21,-0.53
Daniel Batz,de GER,GK,Mainz 05,33-007,1991,4,360,90,23.5,4.0,4,90,4,0,,7,0.50,1,3,-2,-0.50,+0.50,6.2,2.9,+3.3,+0.83,+1.25
Maximilian Bauer,de GER,DF,Augsburg,23-344,2000,8,493,62,32.2,5.5,5,90,5,3,14,8,1.25,9,14,-5,-0.91,-0.65,9.8,9.9,-0.1,-0.01,+0.46
Elias Baum,de GER,"MF,DF",Eint Frankfurt,18-085,2005,2,20,10,1.3,0.2,0,,0,2,10,1,1.50,0,0,0,0.00,-0.42,0.0,1.0,-1.0,-4.38,-4.14
Oliver Baumann,de GER,GK,Hoffenheim,33-231,1990,17,"1,530",90,100.0,17.0,17,90,17,0,,0,1.41,32,33,-1,-0.06,,28.4,30.7,-2.3,-0.14,
Christoph Baumgartner,at AUT,MF,RB Leipzig,24-171,1999,16,688,43,45.0,7.6,7,71,0,9,21,1,2.06,14,7,+7,+0.92,-0.47,19.8,5.5,+14.3,+1.87,+1.69
Mika Baur,de GER,MF,Freiburg,19-194,2004,0,,,,,0,,0,0,,4,,,,,,,,,,,
Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,29-271,1994,15,733,49,47.9,8.1,7,80,3,8,21,2,1.40,13,18,-5,-0.61,-1.07,12.1,16.3,-4.3,-0.52,-0.74
Adrian Beck,de GER,MF,Heidenheim,26-224,1997,14,611,44,39.9,6.8,7,59,0,7,28,3,1.07,12,15,-3,-0.44,-0.05,8.0,13.5,-5.5,-0.80,+0.20
Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,28-344,1995,11,645,59,44.8,7.2,7,72,1,4,35,0,0.55,6,17,-11,-1.53,-1.20,9.6,12.1,-2.5,-0.35,+0.02
Donny van de Beek,nl NED,FW,Eint Frankfurt,26-276,1997,1,62,62,4.1,0.7,1,62,0,0,,0,3.00,1,0,+1,+1.45,+1.08,1.0,2.1,-1.1,-1.60,-1.36
Kevin Behrens,de GER,FW,Union Berlin,32-350,1991,16,"1,108",69,76.9,12.3,13,80,6,3,23,0,0.88,12,23,-11,-0.89,-0.08,15.5,17.1,-1.6,-0.13,+0.99
Morten Behrens,de GER,GK,Darmstadt 98,26-293,1997,0,,,,,0,,0,0,,8,,,,,,,,,,,
Maximilian Beier,de GER,FW,Hoffenheim,21-094,2002,16,"1,028",64,67.2,11.4,12,80,3,4,19,0,1.31,22,22,0,0.00,+0.18,20.8,19.2,+1.6,+0.14,+0.85
Stefan Bell,de GER,DF,Mainz 05,32-148,1991,10,666,67,43.5,7.4,8,76,4,2,29,4,0.40,6,21,-15,-2.03,-2.03,6.1,12.6,-6.4,-0.87,-1.33
Ramy Bensebaini,dz ALG,DF,Dortmund,28-278,1995,13,"1,001",77,65.4,11.1,11,83,7,2,46,1,1.77,19,17,+2,+0.18,-0.84,21.4,18.6,+2.8,+0.25,+0.07
Mergim Berisha,de GER,FW,Hoffenheim,25-253,1998,6,144,24,9.4,1.6,0,,0,6,24,2,1.50,1,2,-1,-0.62,-0.62,1.5,3.0,-1.5,-0.91,-0.86
Mergim Berisha,de GER,FW,Augsburg,25-253,1998,2,122,61,8.0,1.4,2,61,0,0,,0,0.50,3,5,-2,-1.48,-1.09,2.4,2.4,0.0,-0.03,+0.31
Bernardo,br BRA,DF,Bochum,28-250,1995,17,"1,529",90,99.9,17.0,17,90,16,0,,0,1.00,19,34,-15,-0.88,-0.88,22.7,29.6,-6.9,-0.40,-7.31
Matúš Bero,sk SVK,"MF,FW",Bochum,28-135,1995,10,670,67,43.8,7.4,9,72,5,1,18,0,1.00,8,19,-11,-1.48,-1.06,7.6,14.5,-7.0,-0.93,-0.95
Jan-Niklas Beste,de GER,"FW,MF",Heidenheim,25-015,1999,15,"1,262",84,82.5,14.0,15,84,2,0,,0,1.20,22,28,-6,-0.43,-0.09,16.3,30.7,-14.4,-1.03,-0.61
Tom Bischof,de GER,"MF,FW",Hoffenheim,18-205,2005,8,146,18,9.5,1.6,1,77,0,7,10,8,1.13,6,4,+2,+1.23,+1.43,4.7,4.6,+0.1,+0.04,+0.20
Leonardo Bittencourt,de GER,MF,Werder Bremen,30-031,1993,14,835,60,54.6,9.3,11,72,1,3,14,3,1.00,12,15,-3,-0.32,+0.19,9.6,14.9,-5.3,-0.57,-0.32
Hendry Blank,de GER,DF,Dortmund,19-151,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,
Janis Blaswich,de GER,GK,RB Leipzig,32-262,1991,17,"1,530",90,100.0,17.0,17,90,17,0,,0,1.94,38,18,+20,+1.18,,35.5,19.5,+16.0,+0.94,
Victor Boniface,ng NGA,FW,Leverkusen,23-027,2000,16,"1,276",80,83.4,14.2,15,83,4,1,24,0,2.63,42,12,+30,+2.12,+0.34,29.9,14.3,+15.6,+1.10,-0.37
Leonardo Bonucci,it ITA,DF,Union Berlin,36-263,1987,7,460,66,31.9,5.1,6,73,2,1,23,5,0.43,3,13,-10,-1.96,-1.59,7.1,7.0,+0.1,+0.02,+0.57
Yvandro Borges Sanches,lu LUX,"MF,FW",M'Gladbach,19-240,2004,3,18,6,1.2,0.2,0,,0,3,6,4,0.67,1,0,+1,+5.00,+5.18,0.9,0.4,+0.5,+2.62,+2.88
Sebastiaan Bornauw,be BEL,DF,Wolfsburg,24-303,1999,10,577,58,37.7,6.4,7,79,4,3,7,5,1.10,7,13,-6,-0.94,-0.84,5.4,9.9,-4.4,-0.69,-0.59
